genero;nhijos;edad;promedio;etnia;modalidad;rendimiento
MASCULINO;0;22;8.685;Mestizos;0;ALTO
FEMENINO;2;33;8.055;Mestizos;0;ALTO
MASCULINO;0;28;8.01;Mestizos;0;ALTO
FEMENINO;0;29;8.925;Mestizos;0;BAJO
FEMENINO;2;32;8.57;Mestizos;0;ALTO
FEMENINO;0;22;8.33;Mestizos;0;ALTO
FEMENINO;1;32;8.595;Mestizos;0;BAJO
FEMENINO;0;21;8.525;Montubio;0;ALTO
MASCULINO;0;22;7.835;Mestizos;0;ALTO
MASCULINO;0;22;8.26;Mestizos;0;BAJO
MASCULINO;0;23;8.53;AfroEcuatoriano;0;ALTO
MASCULINO;0;21;8.04;Mestizos;0;ALTO
FEMENINO;0;22;8.36;Mestizos;0;ALTO
FEMENINO;0;30;8.78;Mestizos;0;ALTO
FEMENINO;0;24;8.02;Mestizos;0;ALTO
MASCULINO;0;21;8.7;Mestizos;0;ALTO
FEMENINO;0;23;8.405;Mestizos;0;ALTO
FEMENINO;0;26;8.17;Mestizos;0;ALTO
MASCULINO;0;28;8.965;Mestizos;0;BAJO
MASCULINO;0;29;8.04;Mestizos;0;ALTO
MASCULINO;0;4;8.66;Montubio;0;ALTO
FEMENINO;0;22;8.55;Mestizos;0;ALTO
MASCULINO;0;22;8.35;Mestizos;0;ALTO
FEMENINO;0;23;8.335;Blancos;0;ALTO
FEMENINO;0;24;8.345;AfroEcuatoriano;0;ALTO
FEMENINO;1;22;8.315;Mestizos;0;ALTO
MASCULINO;0;22;7.91;Mestizos;0;ALTO
MASCULINO;1;23;8.22;AfroEcuatoriano;0;BAJO
MASCULINO;0;26;8.265;Mestizos;0;ALTO
MASCULINO;1;29;8.595;Mestizos;0;BAJO
MASCULINO;0;28;8.15;Mestizos;0;ALTO
MASCULINO;0;24;8.445;Mestizos;0;ALTO
MASCULINO;0;23;8.27;Mestizos;0;ALTO
MASCULINO;0;28;8.42;Mestizos;0;BAJO
FEMENINO;0;22;8.675;Mestizos;0;ALTO
MASCULINO;0;23;8.45;Mestizos;0;ALTO
MASCULINO;0;22;8.55;Blancos;0;ALTO
MASCULINO;0;23;8.07;Mestizos;0;ALTO
FEMENINO;0;23;9.005;Mestizos;0;ALTO
MASCULINO;0;21;9.05;Mestizos;0;ALTO
MASCULINO;0;22;8.315;Mestizos;0;ALTO
FEMENINO;0;22;8.08;Mestizos;0;ALTO
FEMENINO;0;22;8.64;Mestizos;0;ALTO
FEMENINO;0;22;8.645;Mestizos;0;ALTO
FEMENINO;0;23;8.67;Mestizos;0;ALTO
MASCULINO;0;22;8.31;Mestizos;0;ALTO
MASCULINO;0;23;8.415;Mestizos;0;ALTO
FEMENINO;1;23;8.115;Mestizos;0;ALTO
MASCULINO;0;22;8.125;Mestizos;0;ALTO
FEMENINO;0;22;8.9;Mestizos;0;ALTO
MASCULINO;0;22;7.91;Mestizos;0;BAJO
FEMENINO;0;22;8.65;Mestizos;0;ALTO
FEMENINO;0;22;8.51;Mestizos;0;ALTO
MASCULINO;0;23;7.65;AfroEcuatoriano;0;BAJO
MASCULINO;0;26;8.51;Mestizos;0;ALTO
MASCULINO;0;22;8.06;Mestizos;0;ALTO
MASCULINO;0;22;8.815;Mestizos;0;ALTO
FEMENINO;0;22;8.68;Mestizos;0;ALTO
MASCULINO;0;22;8.41;Mestizos;0;ALTO
MASCULINO;0;22;7.95;Mestizos;0;ALTO
MASCULINO;0;21;8.29;Mestizos;0;ALTO
MASCULINO;0;22;8.275;Mestizos;0;ALTO
MASCULINO;0;22;8.305;AfroEcuatoriano;0;ALTO
MASCULINO;0;23;9.03;Mestizos;0;ALTO
MASCULINO;0;23;8.69;Mestizos;0;BAJO
FEMENINO;0;22;8.21;Blancos;0;ALTO
MASCULINO;0;22;8.49;Mestizos;0;ALTO
MASCULINO;0;22;8.69;Mestizos;0;ALTO
FEMENINO;0;22;8.9;Mestizos;0;ALTO
MASCULINO;0;24;8.83;Mestizos;0;ALTO
MASCULINO;0;22;7.58;Blancos;0;ALTO
MASCULINO;0;23;8.84;Blancos;0;ALTO
MASCULINO;0;22;8.265;Mestizos;0;ALTO
MASCULINO;0;22;8.645;Blancos;0;ALTO
FEMENINO;0;22;9.25;Mestizos;0;BAJO
MASCULINO;0;22;8.49;Mestizos;0;ALTO
MASCULINO;0;22;8.295;Mestizos;0;ALTO
FEMENINO;1;21;8.7;Mestizos;0;ALTO
FEMENINO;0;27;8.185;Mestizos;0;ALTO
MASCULINO;0;22;7.81;Blancos;0;ALTO
MASCULINO;0;22;7.745;Mestizos;0;ALTO
MASCULINO;0;22;8.685;Mestizos;0;ALTO
FEMENINO;0;25;8.495;Mestizos;0;ALTO
MASCULINO;0;25;8.635;Blancos;0;ALTO
FEMENINO;1;24;8.225;Mestizos;0;BAJO
MASCULINO;0;24;8.49;Mestizos;0;ALTO
MASCULINO;0;22;9.245;Mestizos;0;BAJO
MASCULINO;0;22;8.42;Mestizos;0;ALTO
FEMENINO;0;22;8.42;Mestizos;0;ALTO
MASCULINO;0;22;9.195;Mestizos;0;BAJO
MASCULINO;0;26;8.455;Mestizos;0;BAJO
FEMENINO;0;22;8.4;Mestizos;0;ALTO
MASCULINO;0;22;9.24;AfroEcuatoriano;0;BAJO
MASCULINO;0;22;8.48;Mestizos;0;ALTO
FEMENINO;0;22;8.545;Mestizos;0;ALTO
FEMENINO;0;23;8.775;Mestizos;0;ALTO
FEMENINO;0;22;8.435;Blancos;0;ALTO
MASCULINO;0;22;8.205;Mestizos;0;ALTO
MASCULINO;0;22;8.14;Mestizos;0;ALTO
FEMENINO;0;22;9.235;Mestizos;0;ALTO
MASCULINO;0;22;8.69;Mestizos;0;ALTO
MASCULINO;0;21;7.69;Mestizos;0;ALTO
FEMENINO;0;22;8.47;Mestizos;0;ALTO
MASCULINO;0;22;7.99;Mestizos;0;ALTO
FEMENINO;0;22;8.77;Mestizos;0;ALTO
MASCULINO;0;23;8.58;Mestizos;0;ALTO
MASCULINO;0;23;8.56;Mestizos;0;ALTO
MASCULINO;0;22;8.215;Mestizos;0;BAJO
MASCULINO;0;23;8.575;Mestizos;0;BAJO
MASCULINO;0;22;8.215;Mestizos;0;ALTO
MASCULINO;0;22;8.245;Mestizos;0;ALTO
FEMENINO;0;23;8.31;Mestizos;0;ALTO
MASCULINO;0;22;8.185;Mestizos;0;ALTO
FEMENINO;0;23;8.31;Mestizos;0;ALTO
MASCULINO;0;22;8.42;Mestizos;0;ALTO
FEMENINO;0;23;8.235;Mestizos;0;ALTO
FEMENINO;0;22;8.545;Mestizos;0;ALTO
FEMENINO;0;22;8.815;Mestizos;0;ALTO
MASCULINO;0;22;8.27;Mestizos;0;ALTO
MASCULINO;0;23;8.32;Mestizos;0;ALTO
MASCULINO;0;22;8.475;Mestizos;0;ALTO
FEMENINO;0;22;8.895;Mestizos;0;ALTO
FEMENINO;0;23;8.29;Mestizos;0;ALTO
MASCULINO;0;21;7.995;Mestizos;0;ALTO
MASCULINO;0;23;8.365;Mestizos;0;ALTO
MASCULINO;0;22;7.97;Mestizos;0;ALTO
MASCULINO;0;24;8.59;Mestizos;0;ALTO
MASCULINO;0;22;8.6;Mestizos;0;ALTO
FEMENINO;0;23;8.54;AfroEcuatoriano;0;ALTO
MASCULINO;0;22;8.31;Blancos;0;ALTO
MASCULINO;0;24;7.805;Blancos;0;ALTO
MASCULINO;0;23;8.435;Mestizos;0;ALTO
FEMENINO;0;22;8.37;Mestizos;0;ALTO
FEMENINO;0;22;8.72;Mestizos;0;ALTO
MASCULINO;0;22;8.98;Mestizos;0;ALTO
FEMENINO;0;4;8.625;Mestizos;0;ALTO
FEMENINO;0;23;8.515;Mestizos;0;ALTO
MASCULINO;0;22;7.915;Mestizos;0;ALTO
MASCULINO;0;24;8.965;Mestizos;0;ALTO
MASCULINO;0;22;8.845;Mestizos;0;ALTO
FEMENINO;0;22;8.445;Mestizos;0;ALTO
FEMENINO;0;26;9.525;Mestizos;0;BAJO
MASCULINO;0;22;7.96;Mestizos;0;ALTO
MASCULINO;0;23;7.915;Mestizos;0;ALTO
MASCULINO;0;22;8.16;Mestizos;0;ALTO
FEMENINO;0;22;7.995;Mestizos;0;ALTO
MASCULINO;0;24;8.575;Mestizos;0;ALTO
MASCULINO;0;23;8.06;Mestizos;0;ALTO
FEMENINO;0;22;8.73;Mestizos;0;ALTO
FEMENINO;0;24;9.29;Mestizos;0;ALTO
FEMENINO;0;23;9.245;Mestizos;0;BAJO
FEMENINO;2;48;9.29;Mestizos;0;BAJO
MASCULINO;1;35;9.05;Mulato;0;BAJO
FEMENINO;3;33;8.71;Mestizos;0;ALTO
MASCULINO;0;23;8.465;Mestizos;0;ALTO
MASCULINO;0;29;8.61;Mestizos;0;ALTO
FEMENINO;0;23;8.605;Mestizos;0;ALTO
FEMENINO;0;22;9.755;Mestizos;0;BAJO
