etnia;genero;nhijos;edad;promedio;he;sv;modalidad;rendimiento
Mestizos;MASCULINO;0;23;8.44;19.5;0;0;BAJO
Mestizos;MASCULINO;0;22;8.765;21.2;0;0;ALTO
Mestizos;MASCULINO;2;27;8.215;5.8;0;0;BAJO
Mestizos;MASCULINO;0;23;8.155;45.2;0;0;BAJO
Mestizos;MASCULINO;0;22;7.535;3;0;0;BAJO
Mestizos;FEMENINO;0;22;8.285;31.6;0;0;BAJO
AfroEcuatoriano;MASCULINO;0;23;8.175;11;0;0;BAJO
Mestizos;MASCULINO;1;22;8.48;34.6;0;0;BAJO
Mestizos;MASCULINO;0;22;7.79;1.8;0;0;BAJO
Mestizos;MASCULINO;0;23;8.205;37.3;0;0;BAJO
Mestizos;MASCULINO;0;24;8.1;7.4;0;0;BAJO
Mestizos;FEMENINO;1;21;8;6.4;0;0;BAJO
Mestizos;FEMENINO;1;25;7.73;31.8;0;0;BAJO
Mestizos;MASCULINO;0;22;8.265;16.8;0;0;BAJO
Mestizos;MASCULINO;0;33;8.775;13.2;0;0;ALTO
Mestizos;FEMENINO;0;22;9.185;8.6;0;0;ALTO
Mestizos;FEMENINO;0;22;8.18;28.8;0;0;BAJO
Mestizos;MASCULINO;0;26;8.45;14.7;0;0;BAJO
Mestizos;MASCULINO;0;22;8.115;40.6;0;0;BAJO
Mestizos;MASCULINO;0;22;8.935;20.2;0;0;ALTO
Mestizos;FEMENINO;1;27;8.99;18.6;0;0;ALTO
AfroEcuatoriano;MASCULINO;0;22;8.005;35;0;0;BAJO
Mestizos;MASCULINO;0;22;7.985;38.1;0;0;BAJO
Mestizos;MASCULINO;0;22;8.635;22.7;0;0;ALTO
Mestizos;FEMENINO;1;22;8.525;28.4;0;0;ALTO
Mestizos;MASCULINO;0;22;8.2;31.6;0;0;BAJO
Mestizos;FEMENINO;0;22;8.62;6.2;0;0;ALTO
Mestizos;MASCULINO;0;22;8.285;49.4;0;0;BAJO
Mestizos;MASCULINO;0;22;8.185;36.1;0;0;BAJO
Mestizos;MASCULINO;0;23;8.79;14;0;0;ALTO
Mestizos;MASCULINO;0;24;8.37;28.3;0;0;BAJO
Mestizos;MASCULINO;0;21;8.73;41.5;0;0;ALTO
Mestizos;MASCULINO;0;21;8.435;30.9;0;0;BAJO
Mestizos;FEMENINO;1;27;7.905;31.1;0;0;BAJO
Mestizos;FEMENINO;0;22;7.815;18.6;0;0;BAJO
Mestizos;FEMENINO;0;22;9.28;45.6;0;0;ALTO
Mestizos;MASCULINO;0;22;8.16;47.5;0;0;BAJO
Mestizos;MASCULINO;0;22;8.64;1.2;0;0;ALTO
Mestizos;MASCULINO;0;24;8.145;19;0;0;BAJO
Mestizos;MASCULINO;1;24;8.04;5.2;0;0;BAJO
Mestizos;MASCULINO;0;23;8.115;10.4;0;0;BAJO
Mestizos;MASCULINO;0;24;8.58;25.3;0;0;ALTO
Mestizos;FEMENINO;0;23;8.065;8.9;0;0;BAJO
Mestizos;MASCULINO;0;23;8.045;27.4;0;0;BAJO
Mestizos;FEMENINO;0;22;8.56;45.2;0;0;ALTO
Mestizos;MASCULINO;0;22;8.44;13.5;0;0;BAJO
Mestizos;FEMENINO;0;22;8.405;48.1;0;0;BAJO
Mestizos;FEMENINO;1;21;8.13;16.7;0;0;BAJO
Mestizos;MASCULINO;0;22;8.625;28.2;0;0;ALTO
Mestizos;MASCULINO;0;22;8.025;4.9;0;0;BAJO
Mestizos;FEMENINO;0;22;8.28;30.3;0;0;BAJO
Mestizos;FEMENINO;0;21;8.56;46.2;0;0;ALTO
Mestizos;MASCULINO;0;22;8.365;31.8;0;0;BAJO
Mestizos;MASCULINO;0;23;7.775;6.4;0;0;BAJO
Mestizos;FEMENINO;0;21;9.115;12.5;0;0;ALTO
Mestizos;FEMENINO;0;25;8.155;3.8;0;0;BAJO
Mestizos;FEMENINO;0;23;7.84;43.2;0;0;BAJO
Mulato;MASCULINO;0;29;8.435;18.8;0;0;BAJO
Mestizos;FEMENINO;0;23;8.535;10.7;0;0;ALTO
Mestizos;MASCULINO;0;23;8.08;34.3;0;0;BAJO
Mestizos;FEMENINO;0;22;8.285;49.8;0;0;BAJO
Indígenas;MASCULINO;0;23;8.44;16.8;0;0;BAJO
Mestizos;MASCULINO;0;22;7.92;37.1;0;0;BAJO
Blancos;MASCULINO;0;23;8.115;28.3;0;0;BAJO
Mulato;FEMENINO;0;22;8.04;37.2;0;0;BAJO
